Übung;Muskelgruppe;Video vorhanden;YouTube Link (bestehend);Neuer YouTube Link
Liegestütz (Reebok Deck);Brust;✓;https://www.youtube.com/watch?v=IODxDxX7oi4;
Kurzhantel Bankdrücken;Brust;✓;https://www.youtube.com/watch?v=VmB1G1K7v94;
Kurzhantel Fliegende;Brust;✓;https://www.youtube.com/watch?v=eozdVDA78K0;
Enges Bankdrücken (Trizeps);Trizeps;✓;https://www.youtube.com/watch?v=nEF0bv2FW54;
Kurzhantel Kickbacks;Trizeps;✓;https://www.youtube.com/watch?v=6SS6K3lAwZ8;
Overhead Trizepsstrecken;Trizeps;✓;https://www.youtube.com/watch?v=YbX7Wd8jQ-Q;
Dips an der Bank;Trizeps;;;
Klimmzüge / Negativklimmzüge;Rücken;✓;https://www.youtube.com/watch?v=eGo4IYlbE5g;
Kurzhantel Rudern einarmig (Lat-Fokus);Rücken;✓;https://www.youtube.com/watch?v=roCP83qQRBs;
Kurzhantel Rudern beidarmig (oberer Rücken);Rücken;✓;https://www.youtube.com/watch?v=FWJR5Ve8bnQ;
Renegade Row;Rücken;;;
Superman Hold;Rücken;;;
Reverse Snow Angels;Rücken;;;
Seal Row (Reebok Deck);Rücken;;;
Kurzhantel Pullover;Rücken;;;
Face Pulls (Widerstandsband);Hintere Schulter;✓;https://www.youtube.com/watch?v=rep-qVOkqgk;
Reverse Flyes (Kurzhanteln);Hintere Schulter;;;
Kurzhantel Schulterdrücken;Schulter;✓;https://www.youtube.com/watch?v=HzIiNhHhhtA;
Seitheben;Schulter;✓;https://www.youtube.com/watch?v=3VcKaXpzqRo;
Frontheben;Schulter;✓;https://www.youtube.com/watch?v=gkfFI3_nfZc;
Arnold Press;Schulter;;;
Kurzhantel Curls;Bizeps;✓;https://www.youtube.com/watch?v=ykJmrZ5v0Oo;
Hammercurls;Bizeps;✓;https://www.youtube.com/watch?v=zC3nLlEvin4;
Concentration Curls;Bizeps;;;
Zottman Curls;Bizeps;;;
Ab Wheel Rollouts;Core;✓;https://www.youtube.com/watch?v=p7j02V1fIzU;
Plank;Core;✓;https://www.youtube.com/watch?v=ASdvN_XEl_c;
Schrägbauchcrunch;Core;✓;https://www.youtube.com/watch?v=HLKBS57WCo0;
Dead Bug;Core;✓;https://www.youtube.com/watch?v=4XLEnwUr1d8;
Bicycle Crunches;Core;;;
Bird Dog;Core;;;
Russian Twist;Core;;;
Kurzhantel Crunch;Core;;;
Kurzhantel Russian Twist;Core;;;
Weighted Plank;Core;;;
Kurzhantel Side Bend;Core;;;
Pallof Press (isometrisch);Core;;;
Kurzhantel Windmill;Core;;;
Suitcase Carry;Core;;;
L-Sit Hold;Core;;;
Kurzhantel Kniebeugen;Beine;✓;https://www.youtube.com/watch?v=U3HlEF_whyg;
Kurzhantel Ausfallschritte;Beine;✓;https://www.youtube.com/watch?v=D7KaRcUTQeE;
Bulgarian Split Squat;Beine;;;
Rumänisches Kreuzheben;Beine;✓;https://www.youtube.com/watch?v=JCXUYuzwNrM;
Hüftheben (Glute Bridge);Beine;✓;https://www.youtube.com/watch?v=wPM8icPu6H8;
Wadenheben stehend;Beine;✓;https://www.youtube.com/watch?v=gwLzBMbchRk;
Donkey Kicks;Beine;;;
Good Mornings (Kurzhantel);Beine;;;
Hip Thrust;Beine;;;
Reverse Lunges;Beine;;;
Seated Calf Raises;Beine;;;
Single-Leg Wadenheben;Beine;;;
WalkingPad Aufwärmen;Cardio;;;
Rudern Intervalle;Cardio;;;
Rudern Steadystate;Cardio;;;
Farmer's Walk (Kurzhanteln);Functional;;;
